Airlines,Text,Output
@SouthwestAir,b'@SouthwestAir @SacIntlAirport @kcranews @sacbee_news @GoodDaySac \nSouthwest Airlines will be hosting their Safety &amp;\xe2\x80\xa6 https://t.co/EsSo3jf71n',-1
@SouthwestAir,b'Thank you Michael and Diana for helping our family @SouthwestAir you redeemed yourselves #thankyou',1
@SouthwestAir,b'@SouthwestAir Hey @SouthwestAir I heard this isn\xe2\x80\x99t going to happen til August 15th now. Is this true?',-1
@SouthwestAir,b'@SouthwestAir so is FLT 1633 gonna be landing or just do laps over the beach??',-1
@SouthwestAir,b'@jpnKevin_T @lachlan @SouthwestAir The Frenchie looks like a veteran traveler. I flew many times with my last dog (\xe2\x80\xa6 https://t.co/wRaOPOthnW',-1
@SouthwestAir,"b'@SouthwestAir delays for \xe2\x80\x9cweather\xe2\x80\x9d from Nashville to Boston. No updates, gate agents don\xe2\x80\x99t seem to have to ETA, the\xe2\x80\xa6 https://t.co/4YqohmbUJ5'",-1
@SouthwestAir,b'@lee_luh @AmericanAir They did the same to us. We were suppose to be in Boston by now. We cancelled it all and took\xe2\x80\xa6 https://t.co/uO2i8MCAOY',-1
@SouthwestAir,"b""@MikeHazeGaming @tourneylocator @SouthwestAir Thanks Mike!! :D I'm learning from the best\nhttps://t.co/Qyfhr3i8Tg""",1
@SouthwestAir,b'@EnJenNumber9 @AmericanAir They are terrible &amp; don\xe2\x80\x99t care. Screwed us too but we were able to salvage our trip by c\xe2\x80\xa6 https://t.co/cugVJn01JZ',-1
@SouthwestAir,b'@SouthwestAir  thanks for cancelling our noon flight from San Diego to Vegas at 11:30am (with no reason provided) a\xe2\x80\xa6 https://t.co/YLdlDUkPtG',1
@SouthwestAir,"b'Agreed, but for @SouthwestAir to consistently manage multi hour delays on an hour flight is bad form https://t.co/VRW1F0hw1e'",-1
@SouthwestAir,b'@SouthwestAir Anybody there? I have a question about a departing flight.',-1
@SouthwestAir,"b'The more I fly other airlines, the more I appteciate @SouthwestAir. I love you, @SouthwestAir. Don\xe2\x80\x99t ever change.'",-1
@SouthwestAir,b'This is the best you can do @AmericanAir? It\xe2\x80\x99s not good enough. Do a better job at customer service. Be like\xe2\x80\xa6 https://t.co/nWtRcuLVqP',1
@SouthwestAir,"b'@SouthwestAir Thanks, anyone who lives in the Bay Area knows this is how #SFO rolls, and not the airline. Can\xe2\x80\x99t wai\xe2\x80\xa6 https://t.co/esxq18a2ns'",1
@SouthwestAir,b'@SouthwestAir this is the worst airline. Lost my luggage and they don\xe2\x80\x99t give a you know what. Was hung up on 2 time\xe2\x80\xa6 https://t.co/0NYiAkx4Kl',-1
@SouthwestAir,b'\xe2\x81\xa6@SouthwestAir\xe2\x81\xa9 hello is anyone there? Why is it that when I\xe2\x80\x99m booking a flight you \xe2\x81\xa6@SouthwestAir\xe2\x81\xa9 can respond imm\xe2\x80\xa6 https://t.co/3cvfi8I75o',-1
@SouthwestAir,b'@TooShainz @philipsfree @united @SouthwestAir At no point were we under the impression they were making an exceptio\xe2\x80\xa6 https://t.co/ksRZPdTMId',-1
@SouthwestAir,b'\xe2\x81\xa6@SouthwestAir\xe2\x81\xa9 why hasn\xe2\x80\x99t anyone responded to the DM you asked me to send? https://t.co/kXUZ5Y8y4b',0
@SouthwestAir,"b'@dnatimes @SouthwestAir Skies are crowded, but they are surprisingly still putting new routes on the map. Flying ha\xe2\x80\xa6 https://t.co/s9cWrpWY7U'",-1
@SouthwestAir,b'@SouthwestAir poor service',-1
@SouthwestAir,"b'@TooShainz @philipsfree @united @SouthwestAir Well, they did. United took our $150 and told us they would ensure he\xe2\x80\xa6 https://t.co/RLMkHiG0nv'",-1
@SouthwestAir,b'@SouthwestAir is this how you take care of your customer\xe2\x80\x99s items? https://t.co/ry8nJpTxf2',-1
@SouthwestAir,"b'RT @ViciousVish: Just booked my flight to #LTC7 THANKS TO #SouthwestHeart ^_^\n\nTexas and @tourneylocator always treat me well, excited to b\xe2\x80\xa6'",1
